ISBN;id_serije;zaporedna_stevilka_serije
9780345375216;58083;
9780345375223;58083;
9780345375223;58083;
9780345375223;58083;
9780292707696;57017;5
9781423138655;44533;5
9780399244551;43436;2
9781484746431;183923;13
9781484746431;183923;13
9781484746431;183923;13
9781484746431;183923;13
9780064410120;42069;9
9780805080506;40371;3
9780552139137;49339;2
9780552139137;49339;2
9780439670234;42925;3
9780060855925;109518;01
9780060855925;109518;01
9781419701863;42939;9
9781484709870;183923;4
9781484709870;183923;4
9781484746424;183923;12
9781484746424;183923;12
9780439932141;42925;4
9780385738774;110451;3
9780375955716;40332;4
9780345419385;49339;24
9780345419385;49339;24
9780345419385;49339;24
9780345419385;49339;24
9780142419243;45716;1
9780142419243;45716;1
9780765305114;41526;3
9781416958970;42990;5
9781442412231;42990;6
9781587260230;41459;6
9781741664485;43436;10
9780545060486;45556;8
9780385735353;45732;6
9780064410168;42069;13
9780060566210;42069;6
9780142419298;40574;3
9780142419298;40574;3
9780141321318;42742;3
9780810983557;42939;7
9780810983557;42939;7
9780439932158;42925;5
9781416509646;40909;3
9780375838989;45940;3
9780552154222;106221;5
9780552154222;106221;5
9780316002868;43579;4
9781857232097;41526;5
9781442412279;42990;7
9780545126588;42925;6
9780451454249;56532;4
9780451454249;56532;4
9780765302304;41526;12
9780786836543;40838;2
9780545126601;42925;7
9780812517729;41526;2
9780142419274;40574;1
9780142419274;40574;1
9780064410144;42069;11
9781484732748;183923;11
9781484732748;183923;11
9780805080520;40371;5
9780991531998;138549;3
9780007365371;58083;
9780007365371;58083;
9780060548261;64489;2
9780060548261;64489;2
9780439861366;43814;3
9780439861366;43814;3
9781405206129;42069;8
9781423146728;183923;9
9781423146728;183923;9
9780399244568;43436;3
9789997409850;57017;3
9781416951070;42990;3
9780062272188;119623;2
9780810984301;42939;8
9780689859397;43889;4
9780060835774;43514;3
9781741663013;43436;8
9780007202324;43814;7
9780007202324;43814;7
9780552154185;109518;06
9780552154185;109518;06
9780060548278;64489;3
9780060548278;64489;3
9781423161615;42742;8
9780060507770;109518;07
9780060507770;109518;07
9781423101475;183923;5
9781423101475;183923;5
9780395394298;58083;
9780395394298;58083;
9780142501092;51930;4
9780142501092;51930;4
9780061020704;109518;02
9780061020704;109518;02
9781423116967;183923;
9781423116967;183923;
9780142402450;51930;12
9780142402450;51930;12
9780743437325;42782;2
9780786849567;42742;5
9781423163251;183923;
9781423163251;183923;
9780688149758;41459;11
9780048233493;58083;
9780048233493;58083;
9780399256189;43436;11
9780375957079;45940;4
9780486400198;41459;13
9780385733588;45732;2
9780060764906;43814;1
9780060764906;43814;1
9781423140603;183923;8
9781423140603;183923;8
9780140350418;41459;2
9780552142748;49339;14
9780552142748;49339;14
9780545414623;45556;
9780142419229;40391;4
9780142419229;40391;4
9780439272636;42069;4
9780062272232;119623;3
9780316057806;40996;2
9780307582393;40996;3
9780385905169;45732;4
9781597372558;42782;3
9781423103998;42742;4
9780441011254;40909;6
9780688133542;41459;7
9780812550290;41526;8
9780955670145;122513;2
9780955670145;122513;2
9780064410151;42069;12
9780375828256;40332;2
9780261103481;58083;
9780261103481;58083;
9781416914167;42782;8
9780449224434;43904;5
9780810949140;42939;3
9780440421245;40332;3
9780060841829;43514;2
9781416914235;42782;7
9780142419212;40391;3
9780142419212;40391;3
9780743437349;42782;4
9781416908173;118185;13
9781416908173;118185;13
9781416908173;118185;13
9780375971389;45940;5
9780345419392;50060;10
9780345419392;50060;10
9780439206488;42069;2
9780439206488;42069;2
9780345339737;58083;
9780345339737;58083;
9780618083572;92295;1
9780618083572;92295;1
9780618083572;92295;1
9780689869129;42782;6
9781587260377;41459;5
9780399254161;51930;22
9780399254161;51930;22
9780399163609;231565;1
9780399163609;231565;1
9780399251641;51930;21
9780399251641;51930;21
9781421818900;124813;3
9781421818900;124813;3
9780091886578;40650;
9780091886578;40650;
9780091888053;40650;
9780091888053;40650;
9780091898243;40650;
9780091898243;40650;
9780385738750;110451;2
9780786856862;183923;2
9780786856862;183923;2
9781423145509;183923;
9781423145509;183923;
9781416948506;42990;2
9780375838965;45940;2
9780689859373;43889;2
9780552148061;62114;12
9780552148061;62114;12
9780552148061;62114;12
9781423140573;49971;3
9781423140573;49971;3
9780142419205;40391;2
9780142419205;40391;2
9781416958796;42990;4
9780812513738;100463;8
9780812513738;100463;8
9780812513738;100463;8
9780261102187;58083;
9780261102187;58083;
9780062429971;96852;5
9780062429971;96852;5
9781741661347;43436;6
9780064405041;43814;6
9780064405041;43814;6
9780345434692;49339;25
9780345434692;49339;25
9780064410137;42069;10
9781416914204;42782;10
9781423140597;183923;7
9781423140597;183923;7
9781423194552;183923;2
9781423194552;183923;2
9781741661286;43436;5
9780385735292;45732;3
9781484721346;183923;3
9781484721346;183923;3
9780679879251;44427;2
9780765375629;65565;17
9780765375629;65565;17
9780765375629;65565;17
9780385730303;44586;3
9780545135702;45556;3
9781423140566;49971;2
9780192751010;72834;4
9781423108368;42742;6
9780688149765;41459;12
9780141382890;183923;3
9780141382890;183923;3
9781423145516;183923;
9781423145516;183923;
9780689845369;40909;2
9780395515624;58083;
9780395515624;58083;
9780395515624;58083;
9780413771162;159506;2
9780413771162;159506;2
9780618346264;58083;
9780618346264;58083;
9780618346264;58083;
9780618346264;58083;
9780810993235;42939;2
9780060566227;42069;7
9780545060479;45556;7
9780061125270;43814;5
9780061125270;43814;5
9780395710418;58083;
9780395710418;58083;
9780261102231;58083;
9780261102231;58083;
9780261102231;58083;
9780385735339;45732;5
9780062012173;96852;2
9780152949945;72834;6
9780345341679;49339;21
9780345341679;49339;21
9780345341679;49339;21
9780060548285;43904;4
9780064407687;42069;3
9780439441728;159076;11
9780439441728;159076;11
9780439441728;159076;11
9780002247412;43790;6
9780756404734;45262;2
9780756404734;45262;2
9780152054915;40400;5
9780689878589;118185;6
9780689878589;118185;6
9780689878589;118185;6
9780689859403;43889;5
9780062568243;43514;5
9780061031328;109516;05
9780061031328;109516;05
9780345481290;43272;2
9780552152679;106221;7
9780552152679;106221;7
9780688133559;41459;8
9781904233190;153306;2
9781904233190;153306;2
9781904233190;153306;2
9780345496898;43272;6
9780765325945;41526;13
9780765325945;41526;13
9780765325945;41526;13
9780590554091;159076;2
9780590554091;159076;2
9780590554091;159076;2
9780142402481;51930;15
9780142402481;51930;15
9780451462565;40346;11
9780142419267;45716;3
9780142419267;45716;3
9780061161704;109518;08
9780061161704;109518;08
9780061161704;109518;08
9780061161704;109518;08
9780061161704;109518;08
9780061161704;109518;08
9780545290593;45556;11
9780007256754;43272;5
9780996624947;138549;4
9780451461407;40346;9
9780812575583;41526;9
9780060890315;96852;3
9780060890315;96852;3
9780061020612;109517;3
9780061020612;109517;3
9780152052072;40400;7
9780152047726;40400;8
9781416903444;118185;11
9781416903444;118185;11
9781416903444;118185;11
9780061020667;109517;2
9780061020667;109517;2
9780312861872;119216;11
9780312861872;119216;11
9780312861872;119216;11
